player,team,position,active_2026,started_first_wc,starts_last3,recent_starter,minutes,matches,goals,assists,shots,sot,fouls,fouled,yellow,red,goals_per90,assists_per90,shots_per90,sot_per90,fouls_per90,yellow_per90,g_per_sh
Adil Boulbina,Algeria,MF,True,False,0,False,75.0,4,0.51,0.0,1.137,1.137,0.823,0.0,0.0,0.0,1.192,0.0,2.657,2.657,1.924,0.0,0.449
Riyad Mahrez,Algeria,MF,True,False,1,False,339.0,6,0.995,0.0,1.506,0.995,1.703,5.026,0.0,0.0,0.588,0.0,0.889,0.588,1.005,0.0,0.661
Anis Hadj Moussa,Algeria,FW,True,False,0,False,231.0,5,0.51,0.867,1.531,1.531,1.544,2.908,1.544,0.0,0.412,0.701,1.238,1.238,1.249,1.249,0.333
Ibrahim Maza,Algeria,FW,True,False,1,False,453.0,7,0.747,0.434,3.307,1.484,2.66,4.194,0.0,0.0,0.324,0.188,1.436,0.645,1.155,0.0,0.226
Zineddine Belaid,Algeria,DF,True,False,2,True,353.0,5,0.434,0.0,0.867,0.434,0.867,0.433,0.433,0.0,0.241,0.0,0.481,0.241,0.481,0.241,0.5
Farès Chaïbi,Algeria,MF,True,False,1,False,473.0,7,0.434,0.0,4.566,1.378,1.544,2.444,0.0,0.0,0.173,0.0,1.825,0.551,0.617,0.0,0.095
Luca Zidane,Algeria,GK,True,False,2,True,574.0,6,0.0,0.0,0.0,0.0,0.0,1.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Achref Abada,Algeria,DF,True,False,1,False,56.0,2,0.0,0.0,0.0,0.0,0.51,0.433,0.0,0.0,0.0,0.0,0.0,0.0,1.656,0.0,0.0
Aïssa Mandi,Algeria,DF,True,False,2,True,555.0,7,0.0,0.0,0.0,0.0,0.682,1.899,0.0,0.0,0.0,0.0,0.0,0.0,0.244,0.0,0.0
Rayan Aït-Nouri,Algeria,DF,True,False,2,True,491.0,7,0.0,0.0,0.369,0.369,6.214,5.641,0.6,0.0,0.0,0.0,0.148,0.148,2.502,0.242,0.0
