team,squad_value_eur_m
France,1053.0
England,1020.0
Portugal,881.0
Brazil,808.0
Spain,803.0
Germany,715.0
Netherlands,700.0
Argentina,655.0
Belgium,588.0
Italy,558.0
United States,510.0
Croatia,345.0
Mexico,310.0
Colombia,303.0
Senegal,285.0
Japan,272.0
Morocco,265.0
Switzerland,255.0
Uruguay,245.0
Australia,220.0
Sweden,230.0
Norway,210.0
Poland,195.0
Czech Republic,180.0
Ivory Coast,185.0
South Korea,172.0
Canada,165.0
Denmark,162.0
Ecuador,140.0
Nigeria,135.0
Turkey,120.0
Bosnia and Herzegovina,125.0
Saudi Arabia,128.0
Serbia,127.0
Austria,125.0
Scotland,115.0
Wales,110.0
Egypt,105.0
Slovakia,105.0
Republic of Ireland,98.0
Ghana,95.0
Slovenia,95.0
Cameroon,92.0
Iran,88.0
Hungary,88.0
Peru,85.0
Chile,82.0
Romania,82.0
South Africa,75.0
Greece,75.0
Ecuador,140.0
Venezuela,68.0
Paraguay,66.0
Indonesia,58.0
Algeria,52.0
United Arab Emirates,50.0
Tunisia,50.0
Mali,48.0
DR Congo,45.0
Qatar,45.0
Uzbekistan,42.0
Ukraine,42.0
Iraq,35.0
New Zealand,35.0
India,30.0
Jordan,28.0
Trinidad and Tobago,28.0
Costa Rica,32.0
Honduras,28.0
Guatemala,25.0
Zambia,25.0
Panama,24.0
Curaçao,22.0
Bolivia,22.0
Jamaica,22.0
Angola,20.0
Syria,20.0
Sudan,15.0
Cuba,15.0
El Salvador,15.0
Libya,15.0
Haiti,12.0
Mozambique,12.0
Kyrgyzstan,12.0
New Caledonia,5.0
Afghanistan,5.0
Fiji,4.0
Tahiti,3.0
Vanuatu,3.0
Northern Ireland,55.0
Ireland,98.0
