team,matches,corners,yellow,red,fouls,shots,sot,shots_against,sot_against,corners_against,fouls_against
Belgium,10,6.94,1.36,0.0,12.47,18.12,6.68,9.06,2.33,4.08,12.62
France,10,6.32,1.06,0.16,9.55,19.66,6.36,5.97,2.13,2.22,11.48
Croatia,9,7.81,0.74,0.0,9.27,17.73,5.5,7.54,2.95,3.03,11.19
Sweden,10,3.8,1.13,0.0,10.8,10.93,4.73,11.43,4.35,4.84,10.46
Brazil,9,4.92,1.6,0.0,14.06,13.76,5.77,11.95,3.86,2.65,11.44
Uruguay,10,6.18,1.45,0.08,8.88,15.13,4.85,9.01,3.06,4.09,9.99
Colombia,10,3.41,0.58,0.0,9.97,9.74,4.83,7.17,2.58,2.49,8.01
Spain,8,8.82,0.86,0.0,9.4,22.79,7.24,5.43,1.88,1.48,5.16
England,10,7.96,0.69,0.0,9.37,19.85,6.43,5.12,1.15,2.1,12.49
Panama,7,2.26,1.64,0.0,10.17,12.86,5.83,12.21,5.11,3.75,12.21
Japan,10,3.88,0.66,0.0,10.6,11.07,4.31,9.98,3.74,3.81,8.08
Senegal,8,6.59,2.34,0.09,16.03,12.45,5.77,9.87,2.55,4.65,14.33
Switzerland,10,6.04,0.76,0.0,9.78,15.69,5.51,7.74,2.82,3.5,12.33
Mexico,10,4.45,1.48,0.38,11.69,14.13,4.59,5.26,2.08,1.9,10.14
South Korea,10,5.03,1.35,0.0,10.78,12.99,5.26,6.92,3.1,3.5,13.49
Australia,8,3.41,0.86,0.0,10.49,7.62,3.0,20.04,6.1,6.41,7.82
Iran,1,4.0,1.0,0.0,10.0,17.0,4.0,14.0,8.0,1.0,8.0
Saudi Arabia,4,3.24,1.23,0.0,10.21,7.23,2.3,20.85,8.58,7.9,8.79
Germany,10,6.91,0.83,0.0,14.74,20.88,8.72,7.85,1.9,3.04,9.41
Argentina,8,3.74,1.5,0.11,10.93,12.42,5.39,5.0,1.19,1.88,10.14
Portugal,10,5.97,1.19,0.23,10.6,19.59,7.02,8.01,2.64,2.01,10.4
Tunisia,7,3.87,1.65,0.12,12.88,8.66,2.42,12.83,5.42,4.53,11.31
Morocco,9,4.49,0.96,0.0,13.89,14.07,4.1,8.81,3.52,4.87,16.66
Egypt,10,3.88,1.75,0.07,12.77,8.97,3.04,12.47,3.57,4.53,13.88
Czechia,8,6.31,0.59,0.0,16.92,10.43,3.91,11.7,4.38,4.0,10.19
Austria,9,3.74,1.67,0.22,11.61,10.37,4.69,9.4,1.67,3.52,10.02
Türkiye,10,7.71,1.96,0.0,8.12,19.29,6.15,10.21,3.49,4.15,11.82
Norway,10,5.7,0.62,0.0,8.92,15.0,5.19,9.49,3.31,2.73,10.75
Scotland,10,4.63,1.74,0.0,15.44,11.94,4.85,14.21,3.51,4.74,16.07
Bosnia & Herzegovina,8,4.35,2.93,0.0,17.14,13.83,4.45,11.45,3.26,5.59,11.73
Netherlands,10,5.34,1.26,0.17,9.34,12.98,5.49,9.2,2.44,3.33,10.15
Ivory Coast,9,4.85,1.68,0.0,13.19,14.56,4.1,10.7,2.49,4.58,12.14
Ghana,9,2.15,1.64,0.0,5.96,5.33,1.74,10.93,3.83,4.49,9.08
Congo DR,8,4.69,0.78,0.0,15.25,12.37,3.07,7.63,2.35,3.8,12.71
South Africa,8,3.08,2.15,0.74,11.39,10.54,3.95,10.5,3.27,3.0,12.18
Algeria,7,4.19,2.35,0.0,16.61,9.34,3.38,11.02,3.21,4.85,15.35
Cape Verde Islands,4,0.64,1.24,0.0,0.64,3.83,0.64,17.23,4.47,7.02,6.38
Jordan,2,2.38,0.0,0.0,7.38,7.68,1.84,10.89,6.22,3.3,6.76
Iraq,3,4.24,1.48,0.0,9.68,6.65,2.72,14.44,4.0,5.39,9.37
Uzbekistan,4,2.98,1.25,0.0,13.35,6.37,1.77,11.49,4.0,4.69,10.97
Qatar,4,3.25,1.34,0.16,11.93,6.84,2.48,19.34,5.31,8.1,11.83
Paraguay,8,2.79,3.55,0.0,13.89,9.18,2.93,11.77,4.57,3.05,10.47
Ecuador,10,4.77,1.7,0.06,12.86,12.63,3.18,10.43,2.52,3.01,8.86
USA,10,4.35,1.11,0.0,10.99,12.98,4.66,9.15,2.74,3.08,11.68
Haiti,8,3.39,1.26,0.0,17.52,11.33,2.94,11.0,3.62,4.47,15.7
New Zealand,8,2.68,0.5,0.0,9.64,11.01,5.1,18.39,5.07,5.36,12.69
Canada,8,7.15,1.58,0.14,8.88,10.75,3.74,6.0,2.13,2.82,12.11
Curaçao,7,2.81,1.0,0.11,11.98,12.19,4.36,18.5,7.86,6.09,16.34
